,Description,Price,Image URL,Rate,Total Rate
13,"Samsung Galaxy A04e Dual SIM Smartphone - 3GB RAM, 64GB Storage, LTE, Copper - 1 year Warranty","3,900",https://m.media-amazon.com/images/I/81HjL17oavL._AC_UL320_.jpg,3.9,19
14,"Samsung Galaxy S23 Ultra, 12GB, Phantom Black, Mobile Phone, Dual SIM, Android Smartphone, 1 Year Manufacturer Warranty","38,990",https://m.media-amazon.com/images/I/71q+njLKksL._AC_UL320_.jpg,4.3,225
15,"SAMSUNG 55 Inch TV Crystal Processor 4K LED UA55CU8000UXEG, New Edition - Black, Bluetooth, Wi-Fi, HDMI","14,499",https://m.media-amazon.com/images/I/61tIUqwUlCL._AC_UL320_.jpg,3.5,31
16,"Samsung Galaxy A03, Dual SIM, 4GB RAM, 64GB Storage, 6.5 Inches, LTE - Blue - 1 year Warranty","3,999",https://m.media-amazon.com/images/I/61oVY9YzPYL._AC_UL320_.jpg,4.0,3
17,"Samsung A24 Dual SIM, 8GB RAM, 128GB ROM - Black","8,399",https://m.media-amazon.com/images/I/71iarwIWFKL._AC_UL320_.jpg,4.6,6
18,Samsung 40 inch full hd smart tv with built-in receiver ua40t5300auxeg - black,"7,399",https://m.media-amazon.com/images/I/61pWfDIRxmL._AC_UL320_.jpg,4.2,222
19,"Samsung Galaxy A54 - Dual SIM Mobile Phone Android, 8GB RAM, 256GB, 5G, Awesome White - 1 year Warranty","14,399",https://m.media-amazon.com/images/I/71b60-HHxjL._AC_UL320_.jpg,3.9,49
20,Samsung S23 Ultra Gorilla Antishock Case,200,https://m.media-amazon.com/images/I/51v6UNUNSbL._AC_UL320_.jpg,,
21,Samsung S22 Plus Gorilla Antishock Case,150,https://m.media-amazon.com/images/I/51-rTJf0NIL._AC_UL320_.jpg,,
22,Samsung S21 Ultra Gorilla Antishock Case,175,https://m.media-amazon.com/images/I/413Jsqe4j4L._AC_UL320_.jpg,,
23,Camera Protection Hard PC Anti-knock Back Cover for Samsung Galaxy Z Flip3 - Clear,160,https://m.media-amazon.com/images/I/61L69ulQeZL._AC_UL320_.jpg,3.4,5
24,"Samsung Galaxy A14 4G Android Smartphone, Dual SIM, 64GB Storage, 4GB RAM, Light Green","4,949",https://m.media-amazon.com/images/I/81P0iQPc67L._AC_UL320_.jpg,2.9,10
25,"Samsung Galaxy A54 - Dual SIM Mobile Phone Android, 8GB RAM, 256GB, Awesome Graphite - 1 year Warranty","14,930",https://m.media-amazon.com/images/I/71xU8w3fHJL._AC_UL320_.jpg,3.7,71
26,SAMSUNG Dual Sim 12GB RAM 256GB 5G Galaxy S22 Ultra - Phantom Green,"31,500",https://m.media-amazon.com/images/I/61nhOdlKpDL._AC_UL320_.jpg,4.6,476
27,"Samsung Galaxy A14 4G Android Smartphone, Dual SIM, 128GB Storage, 4GB RAM, Light Green - 1 year Warranty","5,444",https://m.media-amazon.com/images/I/81+f9mYRSPL._AC_UL320_.jpg,2.0,12
28,"SAMSUNG Galaxy A04 Dual SIM Smartphone- 3GB RAM, 32GB Storage, LTE, White - 1 year Warranty","3,599",https://m.media-amazon.com/images/I/81WXo6C1wqL._AC_UL320_.jpg,3.5,11
29,"Samsung Galaxy A54 Dual SIM Mobile Phone Android, 8GB RAM, 128GB, 5G, Awesome Graphite - 1 year Warranty","14,135",https://m.media-amazon.com/images/I/71xU8w3fHJL._AC_UL320_.jpg,4.0,45
30,"Samsung Galaxy A54 - Dual SIM Mobile Phone Android, 8GB RAM, 128GB, 5G, Awesome White - 1 year Warranty","13,599",https://m.media-amazon.com/images/I/71b60-HHxjL._AC_UL320_.jpg,3.6,28
31,"Samsung RB34T672FB1 No Frost 340 Liter Refrigerator with Freezer on Bottom, Black- (local warranty)","24,999",https://m.media-amazon.com/images/I/41XL3TUPT1L._AC_UL320_.jpg,4.0,18
32,"Samsung Galaxy Z Fold5 Android Smartphone, 12GB RAM, 256GB ROM, Cream - 1 Year Warranty","69,000",https://m.media-amazon.com/images/I/51ryj-7awKL._AC_UL320_.jpg,,
33,Samsung Refrigerator RS66A8100B1/MR 670L - Black- (local warranty),"54,999",https://m.media-amazon.com/images/I/31sA7kyrHAL._AC_UL320_.jpg,4.0,1
34,Samsung WW90TA046AX1AS Digital Inverter Front Loading Washing Machine - 9Kg - Inox - (local warranty),"21,499",https://m.media-amazon.com/images/I/61MOJy9eLEL._AC_UL320_.jpg,3.4,2
35,"Samsung galaxy m33, dual sim, 8gb ram, 128gb storage, 5g, blue - 1 year Warranty","8,999",https://m.media-amazon.com/images/I/719Zb5jJA9L._AC_UL320_.jpg,4.1,155
36,"Samsung 43 inch full hd smart led tv with built-in receiver, black - ua43t5300auxeg, Wi-Fi","8,999",https://m.media-amazon.com/images/I/61DOcUmc0EL._AC_UL320_.jpg,4.1,309
37,"Samsung Galaxy Tab A7 Lite - 8.7 Inches Display, 3 GB RAM, 32 GB, 4G LTE, Grey - 1 year Warranty","5,699",https://m.media-amazon.com/images/I/61VtoScMHaL._AC_UL320_.jpg,4.2,104
38,"SAMSUNG Galaxy S21 FE 5G Dual Sim Smartphone, 256GB Storage and 8GB RAM, Graphite","19,699",https://m.media-amazon.com/images/I/71S-edhtFhL._AC_UL320_.jpg,3.8,144
39,"SAMSUNG Galaxy A04 Dual SIM Smartphone- 3GB RAM, 32GB Storage, LTE, Black - 1 year Warranty","3,549",https://m.media-amazon.com/images/I/81JUZpUBL3L._AC_UL320_.jpg,3.0,16
40,"Samsung 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, VGA","8,088",https://m.media-amazon.com/images/I/71pvaANoiTL._AC_UL320_.jpg,4.4,7
41,"Samsung Galaxy M52 - Dual SIM, 8GB RAM, 128GB, 5G - White - 1 year Warranty","11,295",https://m.media-amazon.com/images/I/612o96Hxi-L._AC_UL320_.jpg,4.0,32
42,"Samsung Galaxy A04s Dual SIM Black 3GB RAM 32GB LTE - Middle East Version, Wi-Fi","3,925",https://m.media-amazon.com/images/I/71sziuRW5CL._AC_UL320_.jpg,4.0,4
43,"Samsung Galaxy S23 Ultra, 256GB, 12 GB RAM, Mobile Phone, Dual SIM, Android Smartphone - Cream","38,930",https://m.media-amazon.com/images/I/718mMPLo79L._AC_UL320_.jpg,4.3,113
44,"Samsung 65 inch 4k uhd smart led tv with built-in receiver and remote control, black - ua65cu7000uxeg, Wi-Fi, USB, Ethernet, HDMI, Bluetooth, USB, Wireless, HDMI","15,499",https://m.media-amazon.com/images/I/61ckfbfWrfL._AC_UL320_.jpg,3.6,105
45,"Samsung Galaxy Z Flip5 Android Smartphones, 8GB RAM, 256GB ROM, Graphite - 1 Year Warranty","43,285",https://m.media-amazon.com/images/I/51-0BuGouuL._AC_UL320_.jpg,4.7,4
46,"Samsung Galaxy A33 Android Smartphone - Dual SIM, 128GB ROM, 8GB RAM, LTE, Light Blue - 1 year Warranty","11,000",https://m.media-amazon.com/images/I/61ZznafT2hL._AC_UL320_.jpg,4.5,20
47,"Samsung 50 inch 4k uhd smart led tv with built-in receiver and remote control, black - ua50cu7000uxeg, Bluetooth, USB, Ethernet, HDMI","11,590",https://m.media-amazon.com/images/I/61ckfbfWrfL._AC_UL320_.jpg,3.7,34
48,"Samsung Galaxy Z Fold5 Android Smartphone, 12GB RAM, 256GB ROM, Phantom Black - 1 Year Warranty","73,930",https://m.media-amazon.com/images/I/51vemxkwwZL._AC_UL320_.jpg,,
49,"SAMSUNG 65 Inch TV Crystal Processor 4K LED UA65CU8000UXEG, New Edition - Black, Bluetooth, Wi-Fi, HDMI","16,199",https://m.media-amazon.com/images/I/61tIUqwUlCL._AC_UL320_.jpg,3.5,31
50,"Samsung 32 inch hd smart led tv with built-in receiver, black - ua32t5300auxeg, Wi-Fi","5,729",https://m.media-amazon.com/images/I/71iOlIb-3FL._AC_UL320_.jpg,4.1,309
51,"Samsung Galaxy A03 - Dual SIM, 4GB RAM, 64GB Storage, 6.5 Inches, LTE - Black - 1 year Warranty","3,999",https://m.media-amazon.com/images/I/61L6ctjkrOL._AC_UL320_.jpg,3.3,12
52,"Samsung Combined refrigerator RB34A6B0E12/MR, 344L - White","25,999",https://m.media-amazon.com/images/I/41SwMbaAhxL._AC_UL320_.jpg,,
53,"Samsung Galaxy A23 - Dual SIM, 6GB RAM, 128GB Storage, Android Smartphone, 4G - Black - 1 year Warranty","7,899",https://m.media-amazon.com/images/I/71Ig4GatEZL._AC_UL320_.jpg,3.9,93
54,"Samsung Galaxy A14 LTE, 64GB Storage, 4GB RAM, Silver, Dual SIM, Android Smartphone - 1 year Warranty","4,888",https://m.media-amazon.com/images/I/81B66GxivHL._AC_UL320_.jpg,3.3,8
55,"Samsung Galaxy A03, Dual SIM, 3GB RAM, 32GB Storage, 6.5 Inches, LTE, Black - 1 year Warranty","3,599",https://m.media-amazon.com/images/I/61p+pI6HutL._AC_UL320_.jpg,3.1,4
56,Samsung Galaxy Tab A7/S6 Lite Full Protection Case - Black,288,https://m.media-amazon.com/images/I/51D63FQ5CvL._AC_UL320_.jpg,3.5,2
57,Hard PC Anti-knock Back Cover for Samsung Galaxy Z Flip 3 5G - Clear,99,https://m.media-amazon.com/images/I/61y5W+cIXJL._AC_UL320_.jpg,2.9,5
58,MARGOUN for Samsung Galaxy Buds2 Pro Case (2022)/Galaxy Buds 2 Case (2021) /Galaxy Buds Pro/Galaxy Buds Live Case with Carabiner (white),77,https://m.media-amazon.com/images/I/51tfBo52P7L._AC_UL320_.jpg,2.8,7
59,Samsung Note20 Ultra Gorilla Antishock Case,150,https://m.media-amazon.com/images/I/316JRtDCjcL._AC_UL320_.jpg,,
